location,total_sqft,bath,price,BHK
Electronic City,1060.0,2.0,60.0,2
other,1470.0,2.0,70.0,3
other,1300.0,6.0,99.0,6
Attibele,450.0,1.0,11.0,1
Electronic City,1152.0,2.0,64.5,2
Electronic City,1350.0,2.0,56.0,3
CV Raman Nagar,1550.0,3.0,65.0,3
other,1500.0,3.0,100.0,3
Kumaraswami Layout,600.0,3.0,85.0,5
Nagavara,400.0,1.0,14.0,1
Malleshwaram,705.0,1.0,67.0,1
Electronic City,770.0,1.0,36.0,2
Hulimavu,1242.0,2.0,51.0,2
Hebbal Kempapura,1700.0,3.0,155.0,3
Thanisandra,2144.0,3.0,145.0,3
Vijayanagar,1704.0,3.0,110.0,3
Electronic City,1070.0,2.0,52.0,2
other,1846.0,3.0,300.0,3
other,1340.0,2.0,55.7,2
Electronic City,1025.0,2.0,46.0,2
KR Puram,1277.5,2.0,56.8,2
Marathahalli,1200.0,2.0,52.0,2
Kanakpura Road,2250.0,4.0,110.0,4
Pattandur Agrahara,1550.0,2.0,80.0,3
Bellandur,1200.0,5.0,325.0,4
other,1800.0,7.0,250.0,7
Marathahalli,1200.0,2.0,60.0,2
Yelahanka,1327.0,2.0,98.0,2
Kothanur,1186.0,2.0,58.0,2
other,1783.0,3.0,115.0,3
HSR Layout,1400.0,3.0,56.0,3
Nagasandra,980.0,2.0,48.0,2
EPIP Zone,1285.0,2.0,82.0,2
other,912.0,2.0,70.0,3
Whitefield,1225.0,2.0,47.6,2
Whitefield,1075.0,2.0,53.0,2
Kadugodi,1260.0,2.0,54.0,3
Yelahanka,1282.0,2.0,48.7,3
Kogilu,1909.0,3.0,88.0,3
Panathur,1359.0,2.0,87.0,2
other,1207.0,2.0,43.5,2
Padmanabhanagar,1736.0,6.0,190.0,4
1st Block Jayanagar,2850.0,4.0,428.0,4
Kammasandra,1595.0,3.0,65.0,3
other,1798.0,3.0,89.0,3
Electronics City Phase 1,1475.0,3.0,78.29,3
other,1580.0,3.0,100.0,3
Dasarahalli,1295.0,2.0,65.0,2
Magadi Road,3600.0,6.0,141.0,6
Electronic City,589.0,1.0,27.0,1
other,1415.0,3.0,78.0,3
Sarjapur  Road,1787.0,3.0,98.29,3
Sarjapur  Road,1787.0,3.0,125.0,3
Koramangala,1475.0,2.0,90.0,3
other,2000.0,4.0,75.5,4
Sarjapur  Road,984.0,2.0,44.28,2
Devanahalli,1630.0,2.0,74.82,3
other,2405.0,4.0,260.0,3
7th Phase JP Nagar,1080.0,2.0,72.0,2
other,1500.0,2.0,115.0,2
Hebbal,1900.0,3.0,119.0,3
Dommasandra,805.0,2.0,22.14,2
Budigere,1153.0,2.0,56.4,2
other,1148.0,2.0,60.0,2
other,1110.0,2.0,55.0,2
Electronic City,1100.0,2.0,42.0,2
Kalyan nagar,1290.0,2.0,110.0,2
other,1500.0,2.0,65.0,3
other,1080.0,2.0,39.0,2
Vijayanagar,1933.0,3.0,129.0,3
Ramamurthy Nagar,3500.0,5.0,150.0,5
other,1060.0,2.0,60.0,2
Chandapura,645.0,1.0,16.45,1
other,2600.0,8.0,180.0,8
other,1644.0,3.0,84.0,3
other,1285.0,2.0,72.5,2
Electronic City,1200.0,3.0,90.0,3
Electronic City,910.0,2.0,40.0,2
Kothanur,1577.0,3.0,70.0,3
OMBR Layout,2420.0,3.0,185.0,3
Chandapura,800.0,1.0,20.0,2
other,1060.0,2.0,55.0,2
7th Phase JP Nagar,1270.0,2.0,93.0,2
other,900.0,2.0,22.5,2
other,1280.0,2.0,69.0,2
Horamavu Agara,1200.0,2.0,95.0,4
Sarjapur  Road,1025.0,2.0,36.0,2
Electronic City,1108.0,2.0,63.0,2
other,1200.0,5.0,170.0,5
other,3045.0,3.0,170.0,3
Ambedkar Nagar,2900.0,3.0,300.0,4
Vijayanagar,1500.0,3.0,75.5,3
Raja Rajeshwari Nagar,1295.0,2.0,43.9,2
Budigere,1162.0,2.0,59.9,2
Sarjapur  Road,1035.0,2.0,49.2,2
Attibele,1600.0,4.0,52.8,4
other,1464.0,3.0,46.0,3
Hennur Road,1866.0,2.0,61.58,3
other,700.0,1.0,26.0,2
Kalena Agrahara,1804.0,3.0,120.0,3
Sarjapur,913.0,2.0,32.0,2
Talaghattapura,1868.0,3.0,131.0,3
Kengeri Satellite Town,883.0,2.0,45.0,2
other,900.0,2.0,110.0,2
Kogilu,1664.0,2.0,73.95,3
Hegde Nagar,2026.0,3.0,132.0,3
Balagere,1210.0,2.0,80.9,2
Kadugodi,1762.0,3.0,91.45,3
Jigani,1252.0,3.0,55.0,3
Gollarapalya Hosahalli,861.0,2.0,34.5,2
7th Phase JP Nagar,1420.0,2.0,100.0,3
other,1450.0,6.0,250.0,6
Electronics City Phase 1,1490.0,3.0,78.8,3
Bisuvanahalli,1075.0,2.0,46.0,3
Old Madras Road,1425.0,2.0,94.0,3
Kalena Agrahara,1200.0,2.0,40.0,2
Kaggadasapura,1280.0,2.0,56.0,3
other,1084.0,2.0,50.0,2
Chandapura,1015.0,2.0,25.88,2
Kanakpura Road,1017.0,2.0,51.25,2
Haralur Road,1027.0,2.0,44.0,2
Electronic City Phase II,1069.0,2.0,45.0,2
Hebbal,1349.0,2.0,98.2,2
9th Phase JP Nagar,1005.0,2.0,50.0,2
Jakkur,1417.0,2.0,75.0,2
TC Palaya,1475.0,3.0,98.0,3
other,950.0,2.0,47.0,2
other,2000.0,4.0,120.0,4
Giri Nagar,880.0,3.0,140.0,3
Sarjapur  Road,1863.0,3.0,104.0,4
Singasandra,1010.0,2.0,29.5,2
Kalena Agrahara,1425.0,2.0,70.0,3
Vijayanagar,1450.0,3.0,100.0,3
Kothanur,1847.0,3.0,105.0,3
AECS Layout,1100.0,2.0,45.0,2
Kanakpura Road,525.0,1.0,26.0,1
Mallasandra,1665.0,3.0,95.0,3
Begur,1664.0,4.0,65.0,4
JP Nagar,1850.0,3.0,150.0,3
Panathur,1438.0,2.0,100.0,2
other,1560.0,3.0,115.0,3
Yelahanka,1350.0,2.0,55.55,2
Kanakpura Road,1550.0,3.0,67.0,3
Malleshpalya,1140.0,2.0,46.5,2
other,1200.0,5.0,180.0,5
other,850.0,2.0,27.0,2
Whitefield,1280.0,2.0,75.0,2
Munnekollal,1170.0,2.0,52.0,2
other,1113.0,2.0,51.0,2
Hennur Road,1385.0,2.0,83.09,2
Electronic City,1128.0,2.0,65.0,2
Marathahalli,1200.0,2.0,128.0,2
other,1200.0,4.0,165.0,4
Rajaji Nagar,2390.0,3.0,415.0,3
Giri Nagar,2400.0,4.0,400.0,4
Haralur Road,1464.0,3.0,56.0,3
other,1200.0,2.0,55.0,2
Kaval Byrasandra,1200.0,2.0,52.0,2
Kaggalipura,1150.0,2.0,55.0,3
other,1645.0,3.0,95.0,3
Sarjapur  Road,1000.0,2.0,67.0,2
Haralur Road,2650.0,4.0,198.0,4
6th Phase JP Nagar,1192.0,2.0,74.0,2
Ulsoor,2135.0,3.0,215.0,3
Whitefield,1173.0,2.0,58.0,2
Uttarahalli,1020.0,2.0,45.0,2
Thigalarapalya,3122.0,6.0,230.0,4
Somasundara Palya,1600.0,3.0,64.0,3
other,1200.0,2.0,79.0,2
other,1230.0,2.0,48.0,2
 Devarachikkanahalli,1250.0,2.0,40.0,2
Kalena Agrahara,1325.0,2.0,76.0,2
7th Phase JP Nagar,1850.0,3.0,150.0,3
Kanakpura Road,525.0,2.0,21.53,1
Basaveshwara Nagar,1200.0,2.0,65.0,2
other,1350.0,2.0,140.0,3
Bommasandra,1260.0,3.0,49.36,3
other,1800.0,3.0,150.0,3
other,11.0,3.0,74.0,3
Ardendale,1100.0,2.0,43.25,2
Harlur,1508.0,2.0,77.0,2
other,1592.0,3.0,75.0,3
Akshaya Nagar,1388.0,2.0,57.0,2
Electronic City Phase II,630.0,1.0,28.35,1
other,2000.0,3.0,365.0,3
other,1762.0,3.0,125.0,3
other,950.0,2.0,50.0,2
Kodihalli,3252.0,5.0,335.0,4
Magadi Road,1116.0,2.0,50.0,2
Narayanapura,1308.0,2.0,89.04,2
other,1500.0,4.0,230.0,4
Bannerghatta Road,500.0,1.0,18.5,1
Hennur,1075.0,2.0,52.0,2
Chandapura,530.0,1.0,11.66,1
Bellandur,1205.0,2.0,66.0,2
5th Phase JP Nagar,1075.0,2.0,60.0,2
KR Puram,930.0,2.0,39.0,2
Balagere,1380.0,2.0,60.0,2
Hebbal,2483.0,5.0,212.0,4
Kodigehaali,1166.0,2.0,55.0,2
Bannerghatta Road,1050.0,2.0,65.0,2
other,2023.71,3.0,275.0,3
Begur Road,1200.0,2.0,46.8,2
Lakshminarayana Pura,1600.0,2.0,108.0,3
Billekahalli,1935.0,3.0,110.0,3
8th Phase JP Nagar,451.0,1.0,29.9,1
Electronic City,1800.0,3.0,95.0,3
Jalahalli,1400.0,3.0,77.0,3
Hegde Nagar,1801.0,3.0,115.0,3
Mahadevpura,1451.0,2.0,90.0,2
Anekal,1200.0,1.0,36.0,2
Begur Road,1160.0,2.0,44.0,2
Kengeri,1000.0,2.0,25.0,2
Kanakpura Road,950.0,2.0,40.0,2
other,1629.0,3.0,79.0,3
Vijayanagar,1580.0,2.0,134.0,3
Vijayanagar,1826.0,3.0,121.0,3
7th Phase JP Nagar,1245.0,2.0,94.0,2
Raja Rajeshwari Nagar,1145.0,2.0,45.79,2
Sompura,825.0,2.0,33.0,2
Yeshwanthpur,1693.0,3.0,108.0,3
Electronics City Phase 1,1113.27,2.0,53.0,2
other,1460.0,2.0,58.0,2
Doddathoguru,1050.0,2.0,32.0,2
Dodda Nekkundi,1260.0,2.0,55.0,2
other,700.0,3.0,120.0,6
Hosur Road,1656.0,2.0,120.0,2
Chandapura,1208.0,3.0,45.0,3
Whitefield,1910.0,3.0,161.0,3
Whitefield,3252.0,4.0,230.0,4
Battarahalli,1200.0,2.0,65.0,2
other,1200.0,4.0,175.0,4
7th Phase JP Nagar,1175.0,2.0,82.0,2
other,1000.0,2.0,165.0,2
Bannerghatta Road,1200.0,2.0,125.0,4
Rajaji Nagar,2390.0,3.0,410.0,3
Sultan Palaya,550.0,1.0,62.0,2
other,1185.0,2.0,38.0,2
Kengeri,750.0,2.0,38.0,2
Mahalakshmi Layout,1200.0,7.0,250.0,6
Kanakpura Road,1550.0,3.0,64.5,3
other,1760.0,3.0,88.0,3
Billekahalli,1125.0,2.0,62.0,2
Nagarbhavi,1350.0,3.0,150.0,3
Anandapura,1000.0,2.0,55.0,2
Bommasandra Industrial Area,1090.0,2.0,31.48,2
TC Palaya,1200.0,2.0,60.0,2
Budigere,1991.0,4.0,103.0,3
Bommasandra,1060.0,2.0,26.5,2
Ambalipura,1105.0,2.0,75.0,2
Hoodi,985.0,2.0,67.0,2
Chandapura,1533.0,5.0,85.0,6
Balagere,1590.0,3.0,79.0,3
CV Raman Nagar,1120.0,2.0,55.0,2
other,1069.0,2.0,55.0,2
Marathahalli,1933.0,3.0,140.0,3
Hosur Road,1194.0,2.0,69.0,2
Brookefield,1150.0,2.0,69.0,2
Yelenahalli,1240.0,2.0,47.12,2
Raja Rajeshwari Nagar,1419.0,2.0,48.1,2
7th Phase JP Nagar,1200.0,8.0,250.0,8
other,2150.0,4.0,240.0,3
other,1450.0,3.0,55.0,3
other,1630.0,3.0,68.29,3
Dasanapura,708.0,1.0,40.0,2
Kasavanhalli,1000.0,4.0,110.0,3
Bellandur,1250.0,2.0,76.0,2
7th Phase JP Nagar,1400.0,2.0,95.0,3
Sarjapur  Road,1670.0,2.0,57.0,3
Ardendale,1750.0,3.0,100.0,3
Vittasandra,1404.0,2.0,71.0,2
Hoodi,1715.0,2.0,95.0,3
Electronic City,630.0,1.0,34.65,1
Harlur,1752.12,3.0,135.0,3
Hulimavu,1650.0,3.0,78.0,3
Raja Rajeshwari Nagar,1295.0,2.0,55.47,2
Giri Nagar,1800.0,3.0,252.0,3
Sarjapur  Road,1346.0,2.0,74.03,2
other,1200.0,4.0,200.0,4
Hormavu,1150.0,2.0,55.0,2
other,3309.0,4.0,325.0,4
Chandapura,1190.0,2.0,30.35,3
AECS Layout,1620.0,3.0,98.0,3
Marathahalli,950.0,2.0,46.96,2
Harlur,2450.0,3.0,120.0,3
Electronic City Phase II,1220.0,2.0,35.23,3
other,850.0,2.0,30.0,2
Padmanabhanagar,1020.0,2.0,63.0,2
Chikkalasandra,1100.0,2.0,50.0,2
other,1150.0,2.0,126.0,2
Hebbal,1760.0,2.0,130.0,3
Ambalipura,1800.0,3.0,110.0,3
Akshaya Nagar,1070.0,2.0,54.0,2
2nd Stage Nagarbhavi,1500.0,4.0,220.0,4
Vidyaranyapura,1440.0,2.0,95.0,2
Amruthahalli,900.0,2.0,40.0,2
other,1200.0,4.0,230.0,4
Whitefield,1130.0,2.0,42.16,2
Koramangala,1320.0,2.0,165.0,2
Kodigehalli,1270.0,2.0,98.0,2
other,1200.0,2.0,62.0,2
other,1200.0,2.0,74.0,2
Subramanyapura,929.0,2.0,50.17,2
other,1150.0,4.0,260.0,4
Basavangudi,1125.0,4.0,180.0,4
Kenchenahalli,500.0,3.0,65.0,5
other,1200.0,5.0,190.0,5
other,1464.0,3.0,56.0,3
7th Phase JP Nagar,3600.0,4.0,400.0,4
other,2000.0,4.0,99.0,4
Chikkalasandra,1208.0,2.0,49.0,2
Hebbal Kempapura,1130.0,2.0,60.0,2
other,1753.0,3.0,120.0,3
Banjara Layout,600.0,3.0,58.0,3
Hoodi,1196.0,2.0,94.42,2
5th Phase JP Nagar,1150.0,3.0,52.5,2
Electronic City,1128.0,2.0,63.0,2
other,1000.0,2.0,53.0,2
Yelahanka,1035.0,2.0,45.0,2
Kereguddadahalli,950.0,2.0,32.0,2
Bisuvanahalli,1075.0,2.0,36.0,3
Whitefield,1040.0,2.0,48.5,2
other,720.0,2.0,45.0,2
Lingadheeranahalli,1511.0,3.0,95.0,3
other,1300.0,3.0,58.0,3
Hoodi,1545.0,3.0,68.75,3
Shampura,375.0,2.0,26.0,1
Vidyaranyapura,1062.0,2.0,38.0,2
other,1115.0,2.0,40.0,2
JP Nagar,1000.0,2.0,35.0,2
Kambipura,883.0,2.0,45.0,2
Sarjapur  Road,1195.0,2.0,70.0,2
other,1200.0,3.0,165.0,4
other,700.0,1.0,41.0,1
Vittasandra,1246.0,2.0,67.0,2
8th Phase JP Nagar,660.0,4.0,90.0,4
other,1600.0,4.0,80.0,4
Haralur Road,2805.0,5.0,154.0,4
Begur Road,1584.0,3.0,65.0,3
Sector 7 HSR Layout,3000.0,5.0,275.0,4
Hosur Road,1175.0,2.0,48.0,3
other,1595.0,3.0,115.0,3
other,1353.0,2.0,110.0,2
Electronic City,1599.0,3.0,125.0,3
Whitefield,1150.0,2.0,70.0,2
KR Puram,1155.0,2.0,42.74,2
other,1200.0,2.0,85.0,1
Electronic City Phase II,1000.0,2.0,25.0,2
Thanisandra,3000.0,4.0,120.0,4
Rajiv Nagar,1867.0,3.0,160.0,3
Ramagondanahalli,1251.0,2.0,47.0,2
other,1028.0,2.0,45.5,2
Arekere,1222.0,2.0,45.0,2
Bannerghatta Road,1170.0,2.0,66.0,3
Hebbal,2400.0,4.0,245.0,3
other,1385.0,2.0,48.48,3
HSR Layout,1372.0,2.0,68.0,2
Magadi Road,1282.0,2.0,49.0,3
Kanakpura Road,1135.0,2.0,39.73,2
Whitefield,1768.0,3.0,101.0,3
other,1325.0,2.0,90.0,3
Electronic City,1599.0,3.0,99.0,3
Whitefield,1500.0,3.0,61.95,3
Uttarahalli,1286.0,2.0,63.0,2
Kammanahalli,2845.0,5.0,140.0,5
other,1600.0,2.0,50.0,3
Hennur Road,1317.5,2.0,63.77,2
Hebbal,3450.0,5.0,260.0,3
Munnekollal,1102.0,2.0,53.67,2
Yelahanka,1350.0,2.0,54.0,2
Banashankari,1200.0,2.0,42.0,3
Hosa Road,1300.0,6.0,145.0,6
other,1800.0,1.0,80.0,2
Chikkabanavar,950.0,2.0,40.0,2
Kanakpura Road,525.0,1.0,27.25,1
Attibele,656.0,2.0,25.0,2
Marathahalli,1780.0,4.0,175.0,4
other,1056.0,2.0,80.0,2
Bannerghatta Road,595.0,1.0,33.32,1
other,1080.0,2.0,50.0,2
7th Phase JP Nagar,2225.0,3.0,160.0,3
Bommasandra,1126.0,2.0,28.15,2
Electronics City Phase 1,1490.0,3.0,84.0,3
HRBR Layout,2000.0,4.0,300.0,4
Sarjapur  Road,1550.0,3.0,100.0,3
other,1160.0,2.0,55.0,2
Sarjapur  Road,2100.0,3.0,125.0,3
Vittasandra,1404.0,2.0,69.3,2
Sarjapur  Road,2230.0,4.0,225.0,4
other,1544.0,3.0,120.0,3
Banashankari Stage III,1305.0,2.0,58.7,3
Marathahalli,1230.0,2.0,80.0,2
Harlur,1460.0,3.0,73.0,3
Gottigere,967.0,2.0,45.0,2
other,540.0,1.0,36.0,1
Hormavu,715.0,1.0,46.0,1
Whitefield,2500.0,3.0,313.0,3
other,1578.0,3.0,180.0,3
Mysore Road,1020.0,2.0,48.95,2
Jigani,1020.0,2.0,40.0,2
Koramangala,1253.0,2.0,102.0,2
other,1180.0,2.0,42.0,2
Nehru Nagar,961.0,2.0,38.0,2
Kanakapura,1419.0,3.0,75.0,3
Harlur,1709.0,3.0,150.0,3
other,1600.0,2.0,115.0,2
other,416.0,1.0,18.5,1
Sanjay nagar,1100.0,2.0,98.0,2
HSR Layout,1430.0,2.0,65.0,3
other,1260.0,2.0,45.0,2
other,1630.0,3.0,85.0,3
Sarjapur  Road,1249.0,3.0,44.71,3
Kalena Agrahara,1450.0,2.0,85.0,3
Konanakunte,2791.0,3.0,223.0,3
other,600.0,1.0,90.0,1
other,834.0,1.0,60.0,1
other,1125.0,4.0,70.0,3
Arekere,2060.0,3.0,140.0,3
Gottigere,891.0,2.0,25.0,2
Raja Rajeshwari Nagar,1133.0,2.0,49.07,2
Bisuvanahalli,1075.0,2.0,37.0,3
other,3000.0,5.0,260.0,4
Brookefield,2440.0,5.0,425.0,4
Vidyaranyapura,1200.0,2.0,55.0,2
Thanisandra,1075.0,2.0,45.8,2
Kaggadasapura,1140.0,2.0,40.0,2
Margondanahalli,940.0,4.0,150.0,5
other,2160.0,5.0,250.0,6
Raja Rajeshwari Nagar,1090.0,2.0,42.0,2
R.T. Nagar,1500.0,4.0,70.0,4
Whitefield,1790.0,3.0,100.0,3
Hebbal,1920.0,3.0,134.0,3
HRBR Layout,1374.0,2.0,95.0,2
Bannerghatta Road,1445.0,3.0,95.0,3
Kanakapura,711.0,1.0,36.0,1
Tumkur Road,1500.0,3.0,95.0,3
Whitefield,1720.0,3.0,100.0,3
Vasanthapura,1400.0,3.0,60.0,3
Kundalahalli,1030.0,2.0,49.0,2
Mysore Road,1200.0,2.0,85.0,2
other,1375.0,3.0,70.0,3
Hegde Nagar,1050.0,1.0,56.0,2
Jalahalli,2250.0,3.0,160.0,3
Bellandur,1000.0,2.0,50.0,2
other,469.0,1.0,25.0,1
Marathahalli,3800.0,4.0,250.0,4
Kambipura,883.0,2.0,29.0,2
GM Palaya,1820.0,2.0,86.0,3
Singasandra,1440.0,2.0,65.0,3
other,3600.0,4.0,160.0,6
Malleshwaram,2500.0,5.0,325.0,4
Mahadevpura,1225.0,2.0,48.0,2
Chikkalasandra,875.0,2.0,52.8,2
Jalahalli East,750.0,1.0,40.0,1
6th Phase JP Nagar,1180.0,2.0,80.0,2
Haralur Road,1194.0,2.0,47.0,2
Hennur Road,1500.0,2.0,62.0,3
other,1160.0,2.0,52.2,2
Hosakerehalli,2378.0,3.0,262.0,3
Sarjapur,1128.0,2.0,60.0,2
Hebbal,1500.0,3.0,150.0,3
other,1220.0,2.0,35.23,3
Sarjapur  Road,1210.0,2.0,58.0,2
Kanakpura Road,1100.0,2.0,58.0,3
Bommasandra,1200.0,3.0,46.0,3
Haralur Road,3385.0,5.0,260.0,4
other,1641.0,3.0,66.0,3
Horamavu Agara,1200.0,2.0,45.0,2
Raja Rajeshwari Nagar,1260.0,2.0,67.39,2
Mahadevpura,1720.0,3.0,78.0,3
Yelahanka,1132.5,2.0,48.13,2
Yelahanka,1210.0,2.0,45.98,2
Indira Nagar,2200.0,4.0,200.0,4
Bisuvanahalli,1075.0,2.0,45.0,3
Thanisandra,1702.0,3.0,130.0,3
other,1630.0,2.0,200.0,2
Raja Rajeshwari Nagar,1141.0,2.0,38.55,2
other,2072.0,3.0,108.0,3
other,1200.0,2.0,70.0,3
other,1350.0,3.0,77.0,3
other,1180.0,2.0,78.34,3
other,1355.0,2.0,115.0,2
other,600.0,1.0,50.0,1
Hormavu,1200.0,7.0,150.0,7
Bannerghatta Road,1640.0,2.0,120.0,3
other,1200.0,5.0,100.0,5
Kodichikkanahalli,1190.0,2.0,57.0,3
OMBR Layout,2400.0,4.0,375.0,4
Marathahalli,1019.0,2.0,49.85,2
other,1875.0,3.0,165.0,3
Akshaya Nagar,1250.0,3.0,40.0,3
Brookefield,1200.0,3.0,140.0,3
Whitefield,1140.0,2.0,56.0,2
